N,tau,maneuver,max_g,png_hit_rate,ppo_hit_rate,png_n_hits,ppo_n_hits,png_miss_mean,ppo_miss_mean,png_miss_std,ppo_miss_std,png_time_mean,ppo_time_mean,png_energy_mean,ppo_energy_mean
3.0000,0.1500,sine,3,0.8800,1.0000,44,50,0.0700,0.0000,0.1909,0.0000,6.4307,6.4301,2150.8251,2092.6707
3.0000,0.1500,sine,5,0.5600,1.0000,28,50,0.3653,0.0000,0.4353,0.0000,6.4361,6.4352,3848.7027,3679.7849
3.0000,0.1500,sine,7,0.2800,0.9400,14,47,0.7558,0.0377,0.5885,0.1518,6.4450,6.4442,5746.5597,5754.7659
3.0000,0.1500,sine,10,0.1400,0.7400,7,37,1.3138,0.2319,0.8488,0.4212,6.4648,6.4644,8403.5573,9366.9633
3.0000,0.1500,sine,12,0.1400,0.6000,7,30,1.6069,0.4587,1.0731,0.6273,6.4821,6.4817,10163.6102,11995.2604
3.0000,0.1500,sine,15,0.2000,0.4000,10,20,1.9710,0.9212,1.5008,0.9503,6.5132,6.5128,12311.0192,15567.5569
3.0000,0.1500,sine,18,0.1000,0.2800,5,14,2.4748,1.4554,1.6758,1.3243,6.5493,6.5489,13327.1583,18797.9512
3.0000,0.1500,sine,20,0.1200,0.2400,6,12,2.6705,1.8188,1.7909,1.5860,6.5757,6.5752,14414.3879,20872.7566
3.0000,0.2000,none,-,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4298,6.4299,261.8067,1140.9148
3.0000,0.2000,step,3,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,7.1810,7.1670,5868.6841,3188.7561
3.0000,0.2000,step,5,0.4000,1.0000,20,50,0.6364,0.0000,0.6249,0.0000,7.2178,7.1974,16845.6517,5152.5992
