time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
268,66,2015,-1045.8370361328125,540672,328.32,2330.740036201477,827.01953125,650,-1.394612823612988,0.0003,0.9555202722549438,0.0087158203125,0.9845391511917114,0.2,2.629886021168204e-05,0.0011885389,,
272,67,2017,-1020.2577514648438,548864,333.81,2069.9670202255247,1202.673828125,660,-1.4059190217405557,0.0003,0.9613431692123413,0.01480712890625,0.9864572286605835,0.2,-0.0009677224581537303,0.0015043045,,
275,68,2018,-978.5875854492188,557056,326.99,2943.4797803878782,1769.2091064453125,670,-1.4069874757900833,0.0003,0.9431138038635254,0.01025390625,0.9881958365440369,0.2,0.00043241426328677335,0.001608748,,
,,,,560000,,2331.0252443313598,992.09814453125,680,-1.4132783675566316,0.0003,0.9404553771018982,0.014111328125,0.9997923374176025,0.2,-0.000899967594705231,0.0014901708,336.1,-1004.2976684570312
281,69,2006,-1054.0235595703125,565248,329.93,,,,,,,,,,,,,
285,70,2008,-1097.452880859375,573440,335.85,3357.87554397583,1258.136962890625,690,-1.409740001708269,0.0003,0.9420973658561707,0.01990966796875,0.9840649962425232,0.2,-0.0010322289788746275,0.003849018,,
289,71,2011,-1067.245361328125,581632,330.72,2167.1404279708863,1068.5003662109375,700,-1.3959059303626418,0.0003,0.9582279324531555,0.0116943359375,0.9735139608383179,0.2,-3.018481093022274e-05,0.0033294635,,
293,72,2012,-1062.440185546875,589824,333.86,2655.4256423950196,1909.1890869140625,710,-1.393376249819994,0.0003,0.9548757076263428,0.0126953125,0.974658727645874,0.2,-0.0009443828834264423,0.001806709,,
296,73,2014,-1054.6160888671875,598016,338.26,2129.215571975708,698.956298828125,720,-1.3870109971612692,0.0003,0.9530735611915588,0.021337890625,0.9683009386062622,0.2,-0.0022223253203264904,0.0019236248,,
,,,,600000,,2119.1012320518494,996.6497802734375,730,-1.3824751621112228,0.0003,0.9645918607711792,0.016650390625,0.9604502320289612,0.2,-0.00033684967529552524,0.0030694949,351.1,-820.5109252929688
